name,stmt,tag,plabel,total_value,cnt
PRICE T ROWE GROUP INC,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Net revenues,31169400400000.00,168
AMAZON COM INC,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Total net sales,14972242000000.00,158
UNITEDHEALTH GROUP INC,IS,Revenues,Total revenues,12152193000000.00,315
BERKSHIRE HATHAWAY INC,IS,Revenues,Total revenues,11402800000000.00,218
CHEVRON CORP,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Sales and other operating revenues,11154825000000.00,292
ALPHABET INC.,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,8656784000000.00,154
APPLE INC,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Net sales,8373652000000.00,93
ARCHER-DANIELS-MIDLAND CO,IS,Revenues,Revenues,7878576000000.00,695
CVS HEALTH CORP,IS,Revenues,Total revenues,7765543000000.00,171
AT&T INC.,IS,Revenues,Total operating revenues,7469279000000.00,704
VERIZON COMMUNICATIONS INC,IS,Revenues,Operating Revenues,6960315000000.00,335
GENERAL MOTORS CO,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Automotive,6539192000000.00,297
AMAZON COM INC,IS,CostsAndExpenses,Total operating expenses,6404256000000.00,44
WALMART INC.,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Net sales,6283806000000.00,168
BUENAVENTURA MINING CO INC,IS,ProfitLoss,Profit (loss),5821367926000.00,210
PRICE T ROWE GROUP INC,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Net revenues,5781313400000.00,30
UNITEDHEALTH GROUP INC,IS,PremiumsEarnedNet,Premiums,5736406000000.00,117
WALMART INC.,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Net sales,5704240000000.00,66
MARATHON PETROLEUM CORP,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Sales and other operating revenues,5696955000000.00,195
SHELL PLC,IS,Revenue,Revenue,5319756000000.00,127
EXXON MOBIL CORP,IS,Revenues,Total,5212734000000.00,144
LOCKHEED MARTIN CORP,IS,Revenues,Total net sales,5131294000000.00,825
EXXON MOBIL CORP,IS,Revenues,Total revenues,5012279000000.00,72
PHILLIPS 66,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Sales and other operating revenues,4950832000000.00,220
CARDINAL HEALTH INC,IS,Revenues,Revenue,4650149000000.00,77
"HOME DEPOT, INC.",IS,RevenueFromContractWithCustomerExcludingAssessedTax,Net sales,4568617000000.00,130
FORD MOTOR CO,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Total revenues,4489317000000.00,272
