name,cik,total_value
LOGISTICS INNOVATION TECHNOLOGIES CORP.,1848364,685752270115299.65
FEDERAL HOME LOAN MORTGAGE CORP,1026214,576376793000001.96
HSBC HOLDINGS PLC,1089113,215227794019356.65
10X CAPITAL VENTURE ACQUISITION CORP. II,1848898,200008366377752.73
BERKSHIRE HATHAWAY INC,1067983,123667597081002.97
METLIFE INC,1099219,80215321000082.47
US BANCORP DE,36104,72196032079490.30
"PNC FINANCIAL SERVICES GROUP, INC.",713676,56331306000321.37
UBS AG,1114446,55662945000000.00
SCHWAB CHARLES CORP,316709,54482946000128.90
TRUIST FINANCIAL CORP,92230,53429459000098.89
AMAZON COM INC,1018724,52283184000038.28
EXXON MOBIL CORP,34088,50354610000095.18
APPLE INC,320193,50014607000086.55
AGNC INVESTMENT CORP.,1423689,34341559999995.58
CVS HEALTH CORP,64803,33511562000114.27
SHELL PLC,1306965,33235862000027.62
ATHENE HOLDING LTD,1527469,32000882000033.00
FORD MOTOR CO,37996,31794595000012.41
FEDERAL HOME LOAN BANK OF NEW YORK,1329842,31591701316481.10
FIFTH THIRD BANCORP,35527,31556925376533.20
KKR & CO. INC.,1404912,31476470345087.22
TOTALENERGIES SE,879764,31371781000043.62
HUNTINGTON BANCSHARES INC /MD/,49196,31286729000019.35
DUKE ENERGY CORP,1326160,30942056000204.04
MICROSOFT CORP,789019,30798147000132.80
AFLAC INC,4977,29466868000116.28
FEDERAL HOME LOAN BANK OF CHICAGO,1331451,28833245000800.00
ALLY FINANCIAL INC.,40729,26713994000190.66
PRINCIPAL FINANCIAL GROUP INC,1126328,26150033000187.88
BRIGHTHOUSE LIFE INSURANCE CO,733076,25495358250000.00
CITIZENS FINANCIAL GROUP INC/RI,759944,25424219000259.26
DOW INC.,1751788,11701589000114.91
AMERICAN AIRLINES GROUP INC.,6201,11658274999946.32
CATERPILLAR INC,18230,11544399000187.77
DISCOVER FINANCIAL SERVICES,1393612,11525484090236.80
ENTERGY CORP /DE/,65984,11483847097430.56
EDISON INTERNATIONAL,827052,11475912091429.48
EQUINOR ASA,1140625,11296229000037.79
"GENERAL MOTORS FINANCIAL COMPANY, INC.",804269,11213516000000.09
WESTERN ALLIANCE BANCORPORATION,1212545,11081346100323.00
OCCIDENTAL PETROLEUM CORP /DE/,797468,11073573081005.18
BOEING CO,12927,11049439999934.70
"STARWOOD PROPERTY TRUST, INC.",1465128,10978573867052.33
CCO HOLDINGS LLC,1271833,10919658000000.00
SEMPRA ENERGY,1032208,10778604000586.51
LOCKHEED MARTIN CORP,936468,10636978900561.75
"UNITED AIRLINES HOLDINGS, INC.",100517,10634456999906.26
PROCTER & GAMBLE CO,80424,10621419000101.79
"CHARTER COMMUNICATIONS, INC. /MO/",1091667,10542777000351.37
"TESLA, INC.",1318605,10216442000048.54
BROOKFIELD ASSET MANAGEMENT INC.,1001085,10127578000006.60
PROGRESSIVE CORP/OH/,80661,10114565114401.03
"POPULAR, INC.",763901,10104419792179.98
"ABVC BIOPHARMA, INC.",1173313,9937109723653.97
BRISTOL MYERS SQUIBB CO,14272,9843372000127.94
FIRST CITIZENS BANCSHARES INC /DE/,798941,9779624300870.68
FEDERAL HOME LOAN BANK OF PITTSBURGH,1330399,9602940609800.00
ARCELORMITTAL,1243429,9597183000073.96
ARCHER-DANIELS-MIDLAND CO,7084,9570948000098.49
THERMO FISHER SCIENTIFIC INC.,97745,9567575001079.00
CONSTELLATION ENERGY CORP,1868275,9402096999997.60
KRAFT HEINZ CO,1637459,9377560000314.98
COCA COLA CO,21344,9370759000037.73
AMERISOURCEBERGEN CORP,1140859,9192115894082.92
PEPSICO INC,77476,9158884000121.04
SYNOVUS FINANCIAL CORP,18349,9109570255101.31
COSTCO WHOLESALE CORP /NEW,909832,9072981000143.09
ARES COMMERCIAL REAL ESTATE CORP,1529377,8987277506024.53
SYNCHRONY FINANCIAL,1601712,8955000000431.97
"HARTFORD FINANCIAL SERVICES GROUP, INC.",874766,8796713035588.83
FEDERAL HOME LOAN BANK OF BOSTON,1331463,8704326754900.00
HP INC,47217,8682179000102.58
CARLYLE GROUP INC.,1527166,8656789600103.24
VOYA RETIREMENT INSURANCE & ANNUITY CO,837010,8628690000250.00
CARDINAL HEALTH INC,721371,8556845999974.94
"CORTEVA, INC.",1755672,8545064002552.74
UNITED PARCEL SERVICE INC,1090727,8375735000170.27
RIVERSOURCE LIFE INSURANCE CO,727892,8307963000240.00
"PAYPAL HOLDINGS, INC.",1633917,8246438000039.12
WINTRUST FINANCIAL CORP,1015328,8210142945975.87
LOEWS CORP,60086,8207212000057.66
BROOKFIELD PROPERTY PARTNERS L.P.,1545772,8155333000000.00
ENTERPRISE PRODUCTS PARTNERS L.P.,1061219,8154024000031.25
UNUM GROUP,5513,8085581700083.55
"CISCO SYSTEMS, INC.",858877,8074353000044.61
ABBVIE INC.,1551152,7942032000083.19
ABBOTT LABORATORIES,1800,7917024000095.26
LINDE PLC,1707925,7849912000208.05
"KINDER MORGAN, INC.",1506307,7776160000011.00
DANAHER CORP /DE/,313616,7766245000225.42
"FIDELITY NATIONAL INFORMATION SERVICES, INC.",1136893,7745337999962.07
RIO TINTO PLC,863064,7739102000096.54
LOWES COMPANIES INC,60667,7723115000249.31
AMERICAN EQUITY INVESTMENT LIFE HOLDING CO,1039828,7597790723171.65
AES CORP,874761,7286919000033.71
GENERAL DYNAMICS CORP,40533,7268174000160.92
TOYOTA MOTOR CREDIT CORP,834071,7192418000000.00
CIGNA GROUP,1739940,7103202000138.83
VISA INC.,1403161,7002306000563.18
