sic,tlabel,stmt,num_companies,total_value,avg_value
4911,Equity, Including Portion Attributable to Noncontrolling Interest,EQ,30,33751746602898.00,3.38058e+09
4911,Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest,EQ,26,25761814975000.00,3.06214e+09
4931,Equity, Including Portion Attributable to Noncontrolling Interest,EQ,23,21180320574274.00,3.68417e+09
4931,Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest,EQ,23,19628335427000.00,3.57009e+09
4841,Equity, Including Portion Attributable to Noncontrolling Interest,EQ,11,16194030976000.00,5.51568e+09
4841,Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest,EQ,12,13937631269000.00,5.18128e+09
4813,Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest,EQ,11,12224136629302.00,6.16136e+09
4813,Equity, Including Portion Attributable to Noncontrolling Interest,EQ,13,9852407086477.00,3.53767e+09
4922,Equity, Including Portion Attributable to Noncontrolling Interest,EQ,7,9402580374000.00,4.94352e+09
4931,Equity, Attributable to Parent,EQ,11,7188607230644.00,3.3781e+09
4922,Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest,EQ,7,6967391028000.00,4.61111e+09
4911,Equity, Attributable to Parent,EQ,21,5838664027909.00,1.27232e+09
4931,Stockholders' Equity Attributable to Parent,EQ,11,5801416349650.00,3.13082e+09
4911,Stockholders' Equity Attributable to Parent,EQ,20,5471900642056.00,1.34511e+09
4610,Partners' Capital, Including Portion Attributable to Noncontrolling Interest,EQ,7,5023418996000.00,3.29621e+09
4922,Partners' Capital, Including Portion Attributable to Noncontrolling Interest,EQ,8,4810908309000.00,2.75381e+09
4833,Equity, Including Portion Attributable to Noncontrolling Interest,EQ,7,4419084138000.00,2.6621e+09
4812,Equity, Attributable to Parent,EQ,5,4284650361694.00,5.13747e+09
4932,Equity, Including Portion Attributable to Noncontrolling Interest,EQ,4,3996567078000.00,2.93434e+09
4833,Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest,EQ,8,3985887080000.00,2.97454e+09
4911,Equity,EQ,10,3815659786000.00,1.66332e+09
4812,Stockholders' Equity Attributable to Parent,EQ,5,3583115016845.00,4.88829e+09
4932,Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest,EQ,6,3528691012946.00,2.22771e+09
4512,Equity, Attributable to Parent,EQ,15,3193252205408.00,9.92927e+08
4011,Equity, Attributable to Parent,EQ,4,2255995658426.00,3.31277e+09
4011,Stockholders' Equity Attributable to Parent,EQ,4,2239219928610.00,4.21699e+09
4512,Stockholders' Equity Attributable to Parent,EQ,15,2043038396534.00,6.74493e+08
4400,Equity,EQ,4,1965844618000.00,1.23872e+09
4953,Equity, Including Portion Attributable to Noncontrolling Interest,EQ,6,1700626494161.00,1.12475e+09
4813,Stockholders' Equity Attributable to Parent,EQ,18,1615652776944.00,4.42766e+08
4400,Stockholders' Equity Attributable to Parent,EQ,11,1596610788080.00,1.29071e+09
4911,Limited Liability Company (LLC) Members' Equity, Including Portion Attributable to Noncontrolling Interest,EQ,4,1457505445996.00,1.94075e+09
4953,Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest,EQ,6,1435680915165.00,1.08599e+09
4911,Members' Equity,EQ,3,1431672433000.00,1.65511e+09
4011,Equity, Including Portion Attributable to Noncontrolling Interest,EQ,2,1314728861000.00,2.9745e+09
4813,Equity, Attributable to Parent,EQ,16,1299602344696.00,6.02225e+08
4941,Equity, Attributable to Parent,EQ,9,1224919413000.00,7.28685e+08
4213,Equity, Attributable to Parent,EQ,12,1190074123000.00,5.37037e+08
4899,Equity, Including Portion Attributable to Noncontrolling Interest,EQ,9,1153479179044.00,6.48022e+08
4011,Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest,EQ,2,1049358800000.00,2.97269e+09
4841,Limited Liability Company (LLC) Members' Equity, Including Portion Attributable to Noncontrolling Interest,EQ,2,1016580844000.00,2.20996e+10
4911,Net Income (Loss), Including Portion Attributable to Noncontrolling Interest,EQ,29,996430174755.00,2.34069e+08
4924,Equity, Attributable to Parent,EQ,5,937411830000.00,6.88261e+08
4923,Equity, Attributable to Parent,EQ,5,909970564764.00,1.02244e+09
4922,Members' Equity,EQ,2,852870090000.00,2.70752e+09
4400,Equity, Attributable to Parent,EQ,10,838110974332.00,6.85291e+08
4941,Stockholders' Equity Attributable to Parent,EQ,9,817223841727.00,6.03117e+08
4213,Equity, Including Portion Attributable to Noncontrolling Interest,EQ,2,812271347000.00,1.73562e+09
4400,Equity, Including Portion Attributable to Noncontrolling Interest,EQ,9,802122558013.00,6.09053e+08
4213,Stockholders' Equity Attributable to Parent,EQ,13,740820614000.00,4.04378e+08
4700,Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest,EQ,10,703709648803.00,5.46783e+08
4924,Equity, Including Portion Attributable to Noncontrolling Interest,EQ,5,685385995169.00,5.78385e+08
4922,Partners' Capital,EQ,4,681105357000.00,1.87117e+09
4841,Net Income (Loss), Including Portion Attributable to Noncontrolling Interest,EQ,8,656285978000.00,8.08234e+08
4911,Dividends, Common Stock, Cash,EQ,17,650569449000.00,2.31272e+08
4513,Stockholders' Equity Attributable to Parent,EQ,2,594920407000.00,2.1792e+09
4911,Net Loss January 31,2023,EQ,23,582132769466.00,2.4195e+08
4924,Stockholders' Equity Attributable to Parent,EQ,6,580708175000.00,6.45949e+08
4412,Equity,EQ,9,579385324276.00,4.74517e+08
4700,Equity, Including Portion Attributable to Noncontrolling Interest,EQ,5,572086635500.00,4.6549e+08
4213,Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest,EQ,4,564236667000.00,8.3467e+08
4841,Stock Repurchased and Retired During Period, Value,EQ,3,553924600000.00,1.61494e+09
4813,Net Income (Loss) Attributable to Parent,EQ,22,551720186139.00,2.83661e+08
4931,Net Income (Loss), Including Portion Attributable to Noncontrolling Interest,EQ,11,499135979000.00,2.34336e+08
4923,Stockholders' Equity Attributable to Parent,EQ,5,484893783043.00,6.10697e+08
4700,Stockholders' Equity Attributable to Parent,EQ,26,473610386074.00,1.05458e+08
4924,Members' Equity,EQ,2,470204000000.00,1.65565e+09
4011,Net Income (Loss) Attributable to Parent,EQ,4,462364091157.00,1.13883e+09
4011,Comprehensive Income (Loss), Net of Tax, Attributable to Parent,EQ,3,460703000000.00,1.50557e+09
4700,Equity, Attributable to Parent,EQ,23,450379528244.00,1.53608e+08
4911,Revenues,EQ,2,447416000000.00,4.11985e+08
4400,Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest,EQ,8,442373456626.00,4.6812e+08
4924,Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest,EQ,7,440163309000.00,3.72389e+08
4922,Limited Liability Company (LLC) Members' Equity, Including Portion Attributable to Noncontrolling Interest,EQ,2,433784200000.00,1.48556e+09
4412,Stockholders' Equity Attributable to Parent,EQ,22,432433645454.00,2.12185e+08
4833,Equity, Attributable to Parent,EQ,5,428708637783.00,4.13412e+08
4412,Equity, Attributable to Parent,EQ,23,410505398192.00,2.35382e+08
4922,Net Income (Loss), Including Portion Attributable to Noncontrolling Interest,EQ,11,399255642000.00,3.43889e+08
4610,Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest,EQ,3,397779962000.00,1.01474e+09
4812,Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest,EQ,3,397734675358.00,9.38053e+08
4812,Equity,EQ,5,392153611442.00,6.2946e+08
4931,Net Income (Loss) Attributable to Parent,EQ,19,391882342204.00,1.83982e+08
4911,Dividends, Common Stock,EQ,15,386827118192.00,2.30529e+08
4841,Equity, Attributable to Parent,EQ,7,379118310770.00,3.91247e+08
4841,Net Loss January 31,2023,EQ,6,378693902000.00,8.72567e+08
4700,Treasury Stock, Value, Acquired, Cost Method,EQ,7,378004228368.00,1.63638e+09
4922,Partners' Capital Account, Distributions,EQ,10,376151428000.00,2.55191e+08
4412,Equity, Including Portion Attributable to Noncontrolling Interest,EQ,12,373744189433.00,2.99955e+08
4931,Dividends, Common Stock, Cash,EQ,16,369298126000.00,1.62974e+08
4812,Stock Repurchased During Period, Value,EQ,2,356987150000.00,4.89023e+09
4731,Equity, Including Portion Attributable to Noncontrolling Interest,EQ,9,354462624259.00,2.44795e+08
4911,Net Income (Loss) Attributable to Parent,EQ,25,343055354652.00,1.41291e+08
4841,Treasury Stock, Value, Acquired, Cost Method,EQ,5,337789100000.00,7.35924e+08
4832,Equity, Including Portion Attributable to Noncontrolling Interest,EQ,7,335744093482.00,3.45061e+08
4731,Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest,EQ,6,333356160576.00,3.04157e+08
4841,Net Income (Loss) Attributable to Parent,EQ,9,329739318479.00,4.07589e+08
4700,Stock Issued During Period, Value, New Issues,EQ,20,324840170196.00,9.02334e+08
4923,Equity, Including Portion Attributable to Noncontrolling Interest,EQ,2,324488296000.00,6.52894e+08
4922,Dividends, Common Stock, Cash,EQ,6,320871184000.00,4.30122e+08
4610,Partners' Capital Account, Distributions,EQ,13,318594007000.00,2.07283e+08
4932,Net Income (Loss), Including Portion Attributable to Noncontrolling Interest,EQ,6,312470244202.00,3.6718e+08
4931,Net Loss January 31,2023,EQ,12,311526823000.00,2.67405e+08
4412,Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest,EQ,12,305681446373.00,2.4832e+08
4922,Net Loss January 31,2023,EQ,10,304376685000.00,4.63283e+08
