name,tag,value
"BITWISE 10 CRYPTO INDEX FUND","QuantityOfDigitalAssets",22428062.52
"BITWISE 10 CRYPTO INDEX FUND","QuantityOfDigitalAssets",22428062.52
"BITWISE 10 CRYPTO INDEX FUND","QuantityOfDigitalAssets",22428062.52
"BITWISE 10 CRYPTO INDEX FUND","QuantityOfDigitalAssets",22428062.52
"NEW FOUND GOLD CORP.","NumberOfShareOptionsExercisedInSharebasedPaymentArrangement",4341875
"OSPREY BITCOIN TRUST","ChangeInSubscriptions",3811224
"OSPREY BITCOIN TRUST","ChangeInSubscriptions",3811224
"OSPREY BITCOIN TRUST","ChangeInSubscriptions",3783174
"OSPREY BITCOIN TRUST","ChangeInSubscriptions",3708525
"ORLA MINING LTD.","NumberOfShareOptionsExercisedInSharebasedPaymentArrangement",3675000
"AURORA CANNABIS INC","NumberOfInstrumentsOrInterestsIssuedOrIssuable",2614995
"DIGITAL WORLD ACQUISITION CORP.","StockholdersEquityNoteStockSplitConversionRatio1",1437500
"DIGITAL WORLD ACQUISITION CORP.","StockholdersEquityNoteStockSplitConversionRatio1",1437500
"STANTEC INC","NumberOfShareOptionsExercisedInSharebasedPaymentArrangement",1267614
"STARWOOD PROPERTY TRUST, INC.","RedemptionOfUnitsShares",853681
"ACUITYADS HOLDINGS INC.","NumberOfOtherEquityInstrumentsExercisedOrVestedInSharebasedPaymentArrangement",849750
"ACUITYADS HOLDINGS INC.","NumberOfShareOptionsExercisedInSharebasedPaymentArrangement",757183
"F&G ANNUITIES & LIFE, INC.","StockholdersEquityNoteStockSplitConversionRatio1",105000
"F&G ANNUITIES & LIFE, INC.","StockholdersEquityNoteStockSplitConversionRatio1",105000
"CRESCO LABS INC.","DescriptionOfStockConversionRatio",100000
"DRIVEN BRANDS HOLDINGS INC.","StockholdersEquityNoteStockSplitConversionRatio1",88990
"CHEETAH MOBILE INC.","SharesConversionRatio",50000
"CHEETAH MOBILE INC.","SharesConversionRatio",50000
"CHEETAH MOBILE INC.","SharesConversionRatio",50000
"STARWOOD PROPERTY TRUST, INC.","RedemptionOfUnitsShares",50000
"UNITED STATES OIL FUND, LP","InvestmentOwnedBalanceContracts",31661
"UNITED STATES OIL FUND, LP","InvestmentOwnedBalanceContracts",23333
"UNITED STATES OIL FUND, LP","InvestmentOwnedBalanceContracts",21753
"CARLYLE SECURED LENDING, INC.","InvestmentOwnedFairValueMeasurementInput",18470
"UNITED STATES COMMODITY INDEX FUNDS TRUST","InvestmentOwnedBalanceContracts",6199
"UNITED STATES COMMODITY INDEX FUNDS TRUST","InvestmentOwnedBalanceContracts",6037
"UNITED STATES COMMODITY INDEX FUNDS TRUST","InvestmentOwnedBalanceContracts",5823
"OSPREY BITCOIN TRUST","InvestmentInBitcoinNumberOfBitcoin",2828.93
"OSPREY BITCOIN TRUST","InvestmentInBitcoinNumberOfBitcoin",2828.93
"OSPREY BITCOIN TRUST","InvestmentInBitcoinNumberOfBitcoin",2828.93
"OSPREY BITCOIN TRUST","InvestmentInBitcoinNumberOfBitcoin",2828.93
"UNITED STATES BRENT OIL FUND, LP","InvestmentOwnedBalanceContracts",2664
"UNITED STATES BRENT OIL FUND, LP","InvestmentOwnedBalanceContracts",2664
"UNITED STATES BRENT OIL FUND, LP","InvestmentOwnedBalanceContracts",2472
"ERIE INDEMNITY CO","CommonStockConversionRatio",2400
"ERIE INDEMNITY CO","CommonStockConversionRatio",2400
"ERIE INDEMNITY CO","CommonStockConversionRatio",2400
"ERIE INDEMNITY CO","CommonStockConversionRatio",2400
"ERIE INDEMNITY CO","CommonStockConversionRatio",2400
"ERIE INDEMNITY CO","CommonStockConversionRatio",2400
"ERIE INDEMNITY CO","CommonStockConversionRatio",2400
"ERIE INDEMNITY CO","CommonStockConversionRatio",2400
"CION INVESTMENT CORP","InvestmentBasisSpreadVariableRate",1800
"CION INVESTMENT CORP","InvestmentBasisSpreadVariableRate",1800
"CION INVESTMENT CORP","InvestmentBasisSpreadVariableRate",1800
"CION INVESTMENT CORP","InvestmentBasisSpreadVariableRate",1800
"UNITED STATES 12 MONTH OIL FUND, LP","InvestmentOwnedBalanceContracts",1547
"UNITED STATES 12 MONTH OIL FUND, LP","InvestmentOwnedBalanceContracts",1445
"FS KKR CAPITAL CORP","InvestmentInterestRatePaidInKind",1025
"FS KKR CAPITAL CORP","InvestmentInterestRatePaidInKind",1025
"COOTEK(CAYMAN)INC.","EntityListingDepositoryReceiptRatio",650
"COOTEK(CAYMAN)INC.","EntityListingDepositoryReceiptRatio",650
"COOTEK(CAYMAN)INC.","EntityListingDepositoryReceiptRatio",650
"METAURUS EQUITY COMPONENT TRUST","InvestmentOwnedBalanceContract",425
"METAURUS EQUITY COMPONENT TRUST","InvestmentOwnedBalanceContract",425
"METAURUS EQUITY COMPONENT TRUST","InvestmentOwnedBalanceContract",425
"METAURUS EQUITY COMPONENT TRUST","InvestmentOwnedBalanceContract",425
"METAURUS EQUITY COMPONENT TRUST","InvestmentOwnedBalanceContract",425
"METAURUS EQUITY COMPONENT TRUST","InvestmentOwnedBalanceContract",425
"METAURUS EQUITY COMPONENT TRUST","InvestmentOwnedBalanceContract",415
"METAURUS EQUITY COMPONENT TRUST","InvestmentOwnedBalanceContract",415
"METAURUS EQUITY COMPONENT TRUST","InvestmentOwnedBalanceContract",415
"METAURUS EQUITY COMPONENT TRUST","InvestmentOwnedBalanceContract",415
"METAURUS EQUITY COMPONENT TRUST","InvestmentOwnedBalanceContract",415
"METAURUS EQUITY COMPONENT TRUST","InvestmentOwnedBalanceContract",415
"METAURUS EQUITY COMPONENT TRUST","InvestmentOwnedBalanceContract",355
"METAURUS EQUITY COMPONENT TRUST","InvestmentOwnedBalanceContract",355
"METAURUS EQUITY COMPONENT TRUST","InvestmentOwnedBalanceContract",355
"METAURUS EQUITY COMPONENT TRUST","InvestmentOwnedBalanceContract",355
"METAURUS EQUITY COMPONENT TRUST","InvestmentOwnedBalanceContract",355
"METAURUS EQUITY COMPONENT TRUST","InvestmentOwnedBalanceContract",355
"CONVEXITYSHARES TRUST","NumberOfContractsPurchased",164
"CONVEXITYSHARES TRUST","NumberOfContractsPurchased",164
"CARLYLE SECURED LENDING, INC.","InvestmentOwnedFairValueMeasurementInput",100
"CARLYLE SECURED LENDING, INC.","InvestmentOwnedFairValueMeasurementInput",100
"GRANITESHARES GOLD TRUST","NetAssetsPercentageOfNetAssets",100
"PERUSAHAAN PERSEROAN PERSERO PT TELEKOMUNIKASI INDONESIA TBK","NumberOfSharesRepresentedByOneDepositaryReceipt",100
"PERUSAHAAN PERSEROAN PERSERO PT TELEKOMUNIKASI INDONESIA TBK","NumberOfSharesRepresentedByOneDepositaryReceipt",100
"PERUSAHAAN PERSEROAN PERSERO PT TELEKOMUNIKASI INDONESIA TBK","NumberOfSharesRepresentedByOneDepositaryReceipt",100
"CONVEXITYSHARES TRUST","NumberOfContractsPurchased",63
"MONROE CAPITAL CORP","PercentageOfUnitsHeld",56.8
"BAIN CAPITAL SPECIALTY FINANCE, INC.","InvestmentOwnedPercentOfNetAssets",23.724
"BAOSHENG MEDIA GROUP HOLDINGS LTD","StockholdersEquityNoteStockSplitConversionRatio1",20
"JOYY INC.","EntityListingDepositoryReceiptRatio",20
"JOYY INC.","EntityListingDepositoryReceiptRatio",20
"JOYY INC.","EntityListingDepositoryReceiptRatio",20
"JOYY INC.","EntityListingDepositoryReceiptRatio",20
"LATAMGROWTH SPAC","ConvertibleStockConversionRatios",20
"LATAMGROWTH SPAC","ConvertibleStockConversionRatios",20
"LATAMGROWTH SPAC","ConvertibleStockConversionRatios",20
"FS KKR CAPITAL CORP","InvestmentBasisSpreadVariableRate",18.3
"MONEYLION INC.","CommonStockExchangeRatio",16.4078
"MONEYLION INC.","StockholdersEquityNoteStockSplitConversionRatio1",16.4078
"MONEYLION INC.","StockholdersEquityNoteStockSplitConversionRatio1",16.4078
"MONEYLION INC.","StockholdersEquityNoteStockSplitConversionRatio1",16.4078
