name,tag,value
BITWISE 10 CRYPTO INDEX FUND,QuantityOfDigitalAssets,22428062.516900
BITWISE 10 CRYPTO INDEX FUND,QuantityOfDigitalAssets,22428062.516900
BITWISE 10 CRYPTO INDEX FUND,QuantityOfDigitalAssets,22428062.516900
BITWISE 10 CRYPTO INDEX FUND,QuantityOfDigitalAssets,22428062.516900
NEW FOUND GOLD CORP.,NumberOfShareOptionsExercisedInSharebasedPaymentArrangement,4341875.000000
OSPREY BITCOIN TRUST,ChangeInSubscriptions,3811224.000000
OSPREY BITCOIN TRUST,ChangeInSubscriptions,3811224.000000
OSPREY BITCOIN TRUST,ChangeInSubscriptions,3783174.000000
OSPREY BITCOIN TRUST,ChangeInSubscriptions,3708525.000000
ORLA MINING LTD.,NumberOfShareOptionsExercisedInSharebasedPaymentArrangement,3675000.000000
AURORA CANNABIS INC,NumberOfInstrumentsOrInterestsIssuedOrIssuable,2614995.000000
DIGITAL WORLD ACQUISITION CORP.,StockholdersEquityNoteStockSplitConversionRatio1,1437500.000000
DIGITAL WORLD ACQUISITION CORP.,StockholdersEquityNoteStockSplitConversionRatio1,1437500.000000
STANTEC INC,NumberOfShareOptionsExercisedInSharebasedPaymentArrangement,1267614.000000
"STARWOOD PROPERTY TRUST, INC.",RedemptionOfUnitsShares,853681.000000
ACUITYADS HOLDINGS INC.,NumberOfOtherEquityInstrumentsExercisedOrVestedInSharebasedPaymentArrangement,849750.000000
ACUITYADS HOLDINGS INC.,NumberOfShareOptionsExercisedInSharebasedPaymentArrangement,757183.000000
"F&G ANNUITIES & LIFE, INC.",StockholdersEquityNoteStockSplitConversionRatio1,105000.000000
"F&G ANNUITIES & LIFE, INC.",StockholdersEquityNoteStockSplitConversionRatio1,105000.000000
CRESCO LABS INC.,DescriptionOfStockConversionRatio,100000.000000
DRIVEN BRANDS HOLDINGS INC.,StockholdersEquityNoteStockSplitConversionRatio1,88990.000000
CHEETAH MOBILE INC.,SharesConversionRatio,50000.000000
CHEETAH MOBILE INC.,SharesConversionRatio,50000.000000
CHEETAH MOBILE INC.,SharesConversionRatio,50000.000000
"STARWOOD PROPERTY TRUST, INC.",RedemptionOfUnitsShares,50000.000000
"UNITED STATES OIL FUND, LP",InvestmentOwnedBalanceContracts,31661.000000
"UNITED STATES OIL FUND, LP",InvestmentOwnedBalanceContracts,23333.000000
"UNITED STATES OIL FUND, LP",InvestmentOwnedBalanceContracts,21753.000000
"CARLYLE SECURED LENDING, INC.",InvestmentOwnedFairValueMeasurementInput,18470.000000
