Starting TPC-H ingestion...
Data dir: /home/jl4492/GenDB/benchmarks/tpc-h/data/sf10
GenDB dir: /home/jl4492/GenDB/benchmarks/tpc-h/gendb/tpch_sf10.gendb
Ingested 1000000 lineitem rows
Ingested 2000000 lineitem rows
Ingested 3000000 lineitem rows
Ingested 4000000 lineitem rows
Ingested 5000000 lineitem rows
Ingested 6000000 lineitem rows
Ingested 7000000 lineitem rows
Ingested 8000000 lineitem rows
Ingested 9000000 lineitem rows
Ingested 10000000 lineitem rows
Ingested 11000000 lineitem rows
Ingested 12000000 lineitem rows
Ingested 13000000 lineitem rows
Ingested 14000000 lineitem rows
Ingested 15000000 lineitem rows
Ingested 16000000 lineitem rows
Ingested 17000000 lineitem rows
Ingested 18000000 lineitem rows
Ingested 19000000 lineitem rows
Ingested 20000000 lineitem rows
Ingested 21000000 lineitem rows
Ingested 22000000 lineitem rows
Ingested 23000000 lineitem rows
Ingested 24000000 lineitem rows
Ingested 25000000 lineitem rows
Ingested 26000000 lineitem rows
Ingested 27000000 lineitem rows
Ingested 28000000 lineitem rows
Ingested 29000000 lineitem rows
Ingested 30000000 lineitem rows
Ingested 31000000 lineitem rows
Ingested 32000000 lineitem rows
Ingested 33000000 lineitem rows
Ingested 34000000 lineitem rows
Ingested 35000000 lineitem rows
Ingested 36000000 lineitem rows
Ingested 37000000 lineitem rows
Ingested 38000000 lineitem rows
Ingested 39000000 lineitem rows
Ingested 40000000 lineitem rows
Ingested 41000000 lineitem rows
Ingested 42000000 lineitem rows
Ingested 43000000 lineitem rows
Ingested 44000000 lineitem rows
Ingested 45000000 lineitem rows
Ingested 46000000 lineitem rows
Ingested 47000000 lineitem rows
Ingested 48000000 lineitem rows
Ingested 49000000 lineitem rows
Ingested 50000000 lineitem rows
Ingested 51000000 lineitem rows
Ingested 52000000 lineitem rows
Ingested 53000000 lineitem rows
Ingested 54000000 lineitem rows
Ingested 55000000 lineitem rows
Ingested 56000000 lineitem rows
Ingested 57000000 lineitem rows
Ingested 58000000 lineitem rows
Ingested 59000000 lineitem rows
Writing lineitem binary columns...
Lineitem: wrote 59986052 rows
Ingested 1000000 orders rows
Ingested 2000000 orders rows
Ingested 3000000 orders rows
Ingested 4000000 orders rows
Ingested 5000000 orders rows
Ingested 6000000 orders rows
Ingested 7000000 orders rows
Ingested 8000000 orders rows
Ingested 9000000 orders rows
Ingested 10000000 orders rows
Ingested 11000000 orders rows
Ingested 12000000 orders rows
Ingested 13000000 orders rows
Ingested 14000000 orders rows
Ingested 15000000 orders rows
Writing orders binary columns...
Orders: wrote 15000000 rows
Ingested 100000 customer rows
Ingested 200000 customer rows
Ingested 300000 customer rows
Ingested 400000 customer rows
Ingested 500000 customer rows
Ingested 600000 customer rows
Ingested 700000 customer rows
Ingested 800000 customer rows
Ingested 900000 customer rows
Ingested 1000000 customer rows
Ingested 1100000 customer rows
Ingested 1200000 customer rows
Ingested 1300000 customer rows
Ingested 1400000 customer rows
Ingested 1500000 customer rows
Writing customer binary columns...
Customer: wrote 1500000 rows
Ingested 100000 part rows
Ingested 200000 part rows
Ingested 300000 part rows
Ingested 400000 part rows
Ingested 500000 part rows
Ingested 600000 part rows
Ingested 700000 part rows
Ingested 800000 part rows
Ingested 900000 part rows
Ingested 1000000 part rows
Ingested 1100000 part rows
Ingested 1200000 part rows
Ingested 1300000 part rows
Ingested 1400000 part rows
Ingested 1500000 part rows
Ingested 1600000 part rows
Ingested 1700000 part rows
Ingested 1800000 part rows
Ingested 1900000 part rows
Ingested 2000000 part rows
Writing part binary columns...
Part: wrote 2000000 rows
Ingested 500000 partsupp rows
Ingested 1000000 partsupp rows
Ingested 1500000 partsupp rows
Ingested 2000000 partsupp rows
Ingested 2500000 partsupp rows
Ingested 3000000 partsupp rows
Ingested 3500000 partsupp rows
Ingested 4000000 partsupp rows
Ingested 4500000 partsupp rows
Ingested 5000000 partsupp rows
Ingested 5500000 partsupp rows
Ingested 6000000 partsupp rows
Ingested 6500000 partsupp rows
Ingested 7000000 partsupp rows
Ingested 7500000 partsupp rows
Ingested 8000000 partsupp rows
Writing partsupp binary columns...
Partsupp: wrote 8000000 rows
Writing supplier binary columns...
Supplier: wrote 100000 rows
Writing nation binary columns...
Nation: wrote 25 rows
Writing region binary columns...
Region: wrote 5 rows

Ingestion complete in 107 seconds
