ps_partkey,value
1760822,11421572.40
635873,11125696.95
610867,10668234.16
718580,9947527.90
372777,9945115.57
735742,9929008.29
1846839,9908937.18
570280,9864660.96
964040,9863649.90
1738242,9850440.60
415853,9834068.80
196302,9806506.30
592870,9802318.32
162148,9771431.53
199535,9755847.57
1964294,9749428.36
1943072,9743793.40
922788,9743664.00
1869097,9731868.30
1068188,9722351.55
1721412,9704545.76
1616181,9704510.46
1546705,9704063.58
1741960,9700772.10
1918443,9688783.60
465632,9688723.20
117543,9679919.31
895388,9671432.65
560398,9667883.94
1643715,9665237.10
1667880,9656339.22
792800,9651518.72
489909,9638014.40
216890,9634361.18
1021810,9618265.38
1420306,9614635.20
610965,9614348.92
515635,9613539.80
46965,9606875.20
818091,9606145.82
394115,9606088.59
1697243,9602350.10
297809,9586213.70
487833,9585743.68
1341722,9577952.65
797347,9573983.10
90302,9559946.58
1092124,9558246.25
1744644,9557418.00
197020,9552708.42
1599535,9551410.56
1243903,9546549.18
1945888,9542283.60
1868679,9541716.75
1274595,9538953.57
423912,9531960.62
1694600,9529748.99
811985,9511626.08
313238,9510766.45
1143905,9502893.27
190677,9502752.40
1897406,9493999.50
1032623,9493769.55
47747,9490644.51
994131,9473578.56
1545267,9472704.24
496843,9471304.08
1462177,9469928.16
749027,9464518.80
1368475,9463928.07
1949307,9459179.40
1320268,9456345.60
767949,9447570.72
116468,9444238.05
1073013,9440616.50
1310475,9433784.31
440642,9431143.64
622489,9429574.08
113004,9428906.10
795311,9427024.18
1120686,9424920.30
317137,9424380.70
891043,9416456.67
1116372,9415642.20
1645658,9411994.92
1120585,9411879.96
962649,9410218.22
510510,9408236.20
1719016,9404069.40
796111,9402643.50
1437652,9400456.34
1594115,9393752.72
248751,9393517.26
1588669,9383193.74
1136434,9381534.70
1565733,9377403.12
963047,9377239.95
1046091,9371374.22
870340,9370717.44
914150,9360463.32
439041,9350461.98
965053,9349045.42
1394404,9345351.68
815279,9344082.12
840659,9343575.69
22815,9333906.75
1571860,9332336.80
369700,9331770.65
446835,9323275.63
1049615,9317671.96
1847258,9316425.36
162060,9313733.38
710818,9313349.40
23758,9307719.54
1217153,9307693.11
436229,9306261.36
418313,9305896.39
920114,9301732.75
1682588,9300711.42
136696,9298404.72
912722,9293206.23
787833,9293091.50
918171,9291354.16
294367,9289724.86
194400,9288882.96
964873,9287520.84
1864862,9286417.92
1918122,9282049.28
820324,9280005.20
668744,9278659.50
291665,9273827.97
1261141,9272538.96
1696302,9270398.86
147287,9267532.12
1540845,9266756.40
1514835,9259319.30
1273897,9259202.88
21876,9258362.66
1892333,9254921.47
868160,9250490.66
1074454,9248450.91
962450,9248352.30
1341968,9247597.40
860675,9243450.58
1699481,9243063.90
1167281,9241573.62
469799,9240859.80
1186957,9239808.79
47294,9238199.67
1493514,9237644.24
118789,9237077.68
1490833,9236594.25
217336,9236513.40
1293549,9235878.16
1573894,9232767.00
1072910,9230381.20
64442,9230011.02
94394,9228170.26
1049326,9221679.00
1944143,9218479.98
1537345,9217605.02
1867924,9216580.41
744668,9210875.06
511483,9209378.32
515427,9208357.98
465333,9198664.40
813257,9197280.95
1844353,9195776.80
393021,9195657.39
1068490,9191264.76
1693424,9189788.00
1299346,9185521.50
1887367,9177406.93
686456,9174791.23
1772067,9169557.36
1585525,9169404.24
390274,9166476.74
1820636,9161215.90
314287,9160554.62
1887459,9157733.74
749593,9152497.20
821316,9150344.04
1144990,9148323.48
1723094,9136677.86
1612606,9131616.52
1340862,9130419.22
1685235,9125814.54
332623,9122152.74
1960549,9120568.92
163255,9119419.20
740734,9117580.15
1944997,9114519.18
310920,9113364.81
294586,9111696.45
1616700,9108910.50
1073883,9106099.23
667631,9103786.44
765022,9102251.08
1538260,9101639.18
372338,9101082.34
1648920,9099359.06
182636,9097561.52
1040902,9095447.56
857614,9093924.45
693168,9092394.92
1968469,9088301.00
1564769,9088231.12
1493672,9087592.60
223887,9086222.60
1542159,9084964.82
994148,9084628.76
172293,9084076.73
139362,9082522.68
472736,9082411.00
1173913,9082148.04
516715,9077811.24
515047,9074095.50
1068312,9071993.70
1314473,9071077.04
498909,9070974.90
1582599,9070394.34
