s_acctbal,s_name,n_name,p_partkey,p_mfgr,s_address,s_phone,s_comment
9998.36,Supplier#000052387,RUSSIA,877361,Manufacturer#1,LpdenjQxxk5PKWL9J,32-501-422-8682, haggle slyly final deposits. slyly unusual theodolites boost bli
9994.37,Supplier#000030084,GERMANY,380077,Manufacturer#5,"gBEvSkyW o1uHea0CV,oHtkTTVW",17-519-171-6883,pinto beans sleep fluffily alongside of the slyly special deposits. slyly pendi
9988.74,Supplier#000087221,UNITED KINGDOM,1659366,Manufacturer#3,"kOYIxM7G0JFH1XNwGOxMx,xaALTG LCA3",33-369-185-7578,tes are slyly carefully ironic c
9987.51,Supplier#000020657,ROMANIA,395653,Manufacturer#5,"4pL,8BT3Yun,17QHqAr9 A,ZFyyuH4L",29-167-460-7830,otes. excuses behind the blithely regular packages are furio
9986.40,Supplier#000082995,RUSSIA,1782994,Manufacturer#5,CXiBNZ6DUBjgY,32-510-919-3096,"nding instructions boost. unusual, regular asymptotes above the fluffily express e"
9984.30,Supplier#000081977,RUSSIA,1356963,Manufacturer#5,gemeY46TI2J6ZAt9gjouxB,32-569-570-6149,ng to the furiously special package
9983.76,Supplier#000024757,RUSSIA,599751,Manufacturer#4,"vJb,kFRqwsv34H5Y6GsRAEJXz0VCZ",32-868-781-9721,"nal foxes. theodolites cajole regular, final grouches. unusual, final theodolites lose"
9972.22,Supplier#000063539,UNITED KINGDOM,663538,Manufacturer#2,hH22I9VOgOnS,33-349-948-5173,"even, pending instructions among the furiously regular dependencies haggle agai"
9971.99,Supplier#000016715,FRANCE,691708,Manufacturer#2,BjEu56DmMNx VHZ,16-401-454-3384, even requests; fluffily ironic 
9971.99,Supplier#000016715,FRANCE,1341676,Manufacturer#1,BjEu56DmMNx VHZ,16-401-454-3384, even requests; fluffily ironic 
9970.79,Supplier#000084347,FRANCE,1260380,Manufacturer#4,mWjeSqX4jfXGhSq5aB5FORtCzzduhhu2Rk3,16-193-266-7201,ly even dependencies are furiously quickly 
