s_name,s_address
Supplier#000000020,"iybAE,RmTymrZVYaFZva2SH,j"
Supplier#000000285,Br7e1nnt1yxrw6ImgpJ7YdhFDjuBf
Supplier#000000287,7a9SP7qW5Yku5PvSg
Supplier#000000358,V3yxhHhHSXqOoc5UPv5TwkVDGKQsG
Supplier#000000361,f8IUYRmdVXhQC9qJQjWknCXmzhe38vCbk6
Supplier#000000402,"i9Sw4DoyMhzhKXCH9By,AYSgmD"
Supplier#000000555,"TfB,a5bfl3Ah 3Z 74GqnNs6zKVGM"
Supplier#000000640,"mvvtlQKsTOsJj5Ihk7,cq"
Supplier#000000688,D fw5ocppmZpYBBIPI718hCihLDZ5KhKX
Supplier#000000744,5NKuw5W4mFDMQBbUjUO4k kfokG8yvAe
Supplier#000000752,l cHMtEnodxj3FV
Supplier#000000971,23XaUVLYuC3tQIPHCuLLgM5UawL
Supplier#000000997,7eUWMrOCKCp2JYas6P4mL93eaWIOtKKWtTX
Supplier#000001033,"A6x1P,56sVHkb4DqVyUw32n,ChI"
Supplier#000001141,"xCOuPvOd565r9H31,xuZcpE"
Supplier#000001245,"bztTCfHZnsLafgtZWe,isV Gr 4IFg"
Supplier#000001263,rQWr6nf8ZhB2TAiIDIvo5Io
Supplier#000001367,42YSkFcAXMMcucsqeEefOE4HeCC
Supplier#000001426,"bPOCc086oFm8sLtS,fGrH"
Supplier#000001447,"Y6nbeZmxx9J0j,1PLvpljga qvtV0e3ehThVjXMf"
Supplier#000001454,"TOpimgu2TVXIjhiL93h,"
Supplier#000001501,"xL06,Y 2M3CjPr"
Supplier#000001528,it4EmP9yhW0IZvUnapbYfoKXVvY2
Supplier#000001600,Wli6lXwUVA4SSle lr0iA2VaJZt
Supplier#000001682,pXTkGxrTQVyH1Rr
Supplier#000001700,7hMlCof1Y5zLFg
Supplier#000001726,TeRY7TtTH24sEword7yAaSkjx8
Supplier#000001730,"Rc8e,1Pybn r6zo0VJIEiD0UD vhk"
Supplier#000001746,qWsendlOekQG1aW4uq06uQaCm51se8lirv7 hBRd
Supplier#000001752,Fra7outx41THYJaRThdOGiBk 
Supplier#000001855,MWk6EAeozXb
Supplier#000001856,jXcRgzYF0ah05iR8p6w5SbJJLcUGyYiURPvFwUWM
Supplier#000001939,"Nrk,JA4bfReUs"
Supplier#000001990,"DSDJkCgBJzuPg1yuM,CUdLnsRliOxkkHezTCA"
Supplier#000002022, dwebGX7Id2pc25YvY33
Supplier#000002117,"MRtkgKolHJ9Wh X9J,urANHKDzvjr"
Supplier#000002218,nODZw5q4dx kp0K5
Supplier#000002241,"iGV,9clV9LwufQVVqiOO1plFx"
Supplier#000002245,hz2qWXWVjOyKhqPYMoEwz6zFkrTaDM
Supplier#000002264,dBDsb7P6EcVLsX
Supplier#000002272,tQdSwOifi4AkfJh
Supplier#000002331,WRh2w5WFvRg7Z0S1AvSvHCL
Supplier#000002419,qydBQd14I5l5mVXa4fYY
Supplier#000002476,XmIgFZUxS9KpXDl
Supplier#000002481,nLKHUOn2Ml9TOA06Znq9GEMcIlMO2
Supplier#000002494,8 j3qJvL6qjroE avAdKFooKo4IMH2oPHLXH0H9p
Supplier#000002571,"JZUugz04c iJFLrlGsz9O N,W 1rVHNIReyq"
Supplier#000002585,CsPoKpw2QuTY4AV1NkWuttneIa4SN
Supplier#000002587,"hcsr Obo8yP0176DtTqs5CDxn1,HK1Uvmem"
Supplier#000002629,"0Bw,q5Zp8su9XrzoCngZ3cAEXZwZ"
Supplier#000002630,ZIQAvjNUY9KH5ive zm7k VlPiDl7CCo21
Supplier#000002669,GG1GW2tM6wvOW iIPblxxmXj2g
Supplier#000002719,4nnzQI2CbqREQUuIsXTBVUkaP4mNS3
Supplier#000002799,"lwr, 6L3gdfc79PQut,4XO6nQsTJY63cAyYO"
Supplier#000002840,"nXVY3S0,1VZrTavsOSFyBZx DOUU"
Supplier#000002934,"m,trBENywSArwg3DhB"
Supplier#000002941,Naddba 8YTEKekZyP0
Supplier#000002960,KCPCEsRGGo6vx8TygHh60nAYf9rStQT2T
Supplier#000003062,LSQNgqY1xnOzz9zBCapy7HwOZQ
Supplier#000003087,ANwe8QsZ4rgj1HSqVz991eWQ
Supplier#000003109,2WfTvl8mtHqnyueg7Ki
Supplier#000003161,cQScZDuLpBSAU9RlV4OxyvJeHbMpjfwoX
Supplier#000003185,hMa535Cbf2mj1Nw4OWOKWVrsK0VdDkJURrdjSIJe
Supplier#000003189,DWdPxt7 RnkZv6VOByR0em
Supplier#000003213,"pxrRP4irQ1VoyfQ,dTf3"
Supplier#000003241,"j06SU,LS9O3mwjAMOViANeIhb"
Supplier#000003275,9xO4nyJ2QJcX6vGf
Supplier#000003314,jnisU8MzqO4iUB3zsPcrysMw3DDUojS4q7LD
Supplier#000003373,iy8VM48ynpc3N2OsBwAvhYakO2us9R1bi
Supplier#000003380,"jPv0V,pszouuFT3YsAqlP,kxT3u,gTFiEbRt,x"
Supplier#000003423,",,hFmixRsUfI"
Supplier#000003445,"gWX6w2yDE10TXisLZkLPcoFl,FN"
Supplier#000003448,eVa5XwFZOM6p8d9g6Pmn4YhbD PUnFAI
Supplier#000003462,se8groc4wD7
Supplier#000003561,Zc9L62QD0dCSXxykBJS1K
Supplier#000003625,qY588W0Yk5iaUy1RXTgNrEKrMAjBYHcKs
Supplier#000003679,CtP5pEp8k7H
Supplier#000003723,jZEp0OEythCLcS OmJSrFtxJ66bMlzSp
Supplier#000003795,"Q6DPJ4AogZ RFB0TAs,F2FtIW8C67wax9pE"
Supplier#000003797,UuWXXv4ID LLOj
Supplier#000003894,vvGC rameLOk
Supplier#000003918,meRvRCsJoAbfqd0Re4
Supplier#000003994,W00LZp3NjK0
Supplier#000004014,Spla6 0RV3oK9Y
Supplier#000004111,fEPasEoS6uaJ VsPTh1qNht0
Supplier#000004140,0hL7DJyYjcHL
Supplier#000004165,"wTJ2dZNQA8P2oi99N6DT47ndHy,XKD2"
Supplier#000004207,"tF64pwiOM4IkWjN3mS,e06WuAjLx"
