s_name,numwait
Supplier#000084283,225
Supplier#000041601,223
Supplier#000005774,220
Supplier#000028609,220
Supplier#000097541,219
Supplier#000010914,217
Supplier#000045458,215
Supplier#000072700,215
Supplier#000034644,214
Supplier#000071894,214
Supplier#000005390,213
Supplier#000010381,213
Supplier#000040941,213
Supplier#000050027,213
Supplier#000000427,212
Supplier#000006624,212
Supplier#000023949,212
Supplier#000049127,212
Supplier#000073893,212
Supplier#000080264,212
Supplier#000035160,211
Supplier#000052941,211
Supplier#000059875,211
Supplier#000062359,211
Supplier#000074296,211
Supplier#000078400,211
Supplier#000091869,211
Supplier#000004100,210
Supplier#000051894,210
Supplier#000058149,210
Supplier#000059493,210
Supplier#000063321,210
Supplier#000071739,210
Supplier#000081297,210
Supplier#000088016,210
Supplier#000008394,209
Supplier#000035790,209
Supplier#000039681,209
Supplier#000054266,209
Supplier#000062538,209
Supplier#000014066,208
Supplier#000023454,208
Supplier#000041221,208
Supplier#000043449,208
Supplier#000065793,208
Supplier#000084664,208
Supplier#000086866,208
Supplier#000089581,208
Supplier#000000920,207
Supplier#000003212,207
Supplier#000003262,207
Supplier#000008396,207
Supplier#000008754,207
Supplier#000025636,207
Supplier#000053215,207
Supplier#000015393,206
Supplier#000016188,206
Supplier#000025538,206
Supplier#000042721,206
Supplier#000054342,206
Supplier#000055497,206
Supplier#000057792,206
Supplier#000058863,206
Supplier#000067104,206
Supplier#000081992,206
Supplier#000082568,206
Supplier#000089813,206
Supplier#000000445,205
Supplier#000011469,205
Supplier#000020223,205
Supplier#000025330,205
Supplier#000026806,205
Supplier#000041272,205
Supplier#000050255,205
Supplier#000072660,205
Supplier#000096782,205
Supplier#000098391,205
Supplier#000099314,205
Supplier#000003234,204
Supplier#000018760,204
Supplier#000019031,204
Supplier#000025247,204
Supplier#000025897,204
Supplier#000026906,204
Supplier#000033271,204
Supplier#000036060,204
Supplier#000051460,204
Supplier#000069333,204
Supplier#000076447,204
Supplier#000076995,204
Supplier#000081778,204
Supplier#000081950,204
Supplier#000093608,204
Supplier#000001595,203
Supplier#000001665,203
Supplier#000004786,203
Supplier#000005627,203
Supplier#000006547,203
Supplier#000012471,203
Supplier#000018965,203
