cntrycode,numcust,totacctbal
13,1,4998.39
13,1,4998.92
13,1,4999.80
13,1,5000.83
13,1,5001.26
13,1,5001.38
13,1,5002.27
13,1,5002.76
13,1,5003.92
13,1,5004.60
13,1,5004.86
13,1,5004.93
13,1,5006.78
13,1,5007.01
13,1,5008.32
13,1,5008.53
13,1,5008.84
13,1,5011.27
13,1,5013.92
13,1,5014.27
13,1,5015.32
13,1,5015.52
13,1,5016.17
13,1,5016.18
13,1,5016.52
13,1,5016.52
13,1,5016.95
13,1,5017.17
13,1,5019.36
13,1,5019.63
13,1,5020.28
13,1,5021.48
13,1,5021.48
13,1,5022.28
13,1,5022.46
13,1,5022.59
13,1,5023.35
13,1,5023.40
13,1,5023.64
13,1,5023.80
13,1,5025.18
13,1,5025.47
13,1,5025.68
13,1,5026.21
13,1,5026.89
13,1,5027.22
13,1,5027.68
13,1,5027.89
13,1,5028.49
13,1,5028.72
13,1,5030.21
13,1,5031.19
13,1,5031.59
13,1,5032.02
13,1,5032.37
13,1,5032.71
13,1,5033.41
13,1,5034.23
13,1,5035.47
13,1,5037.67
13,1,5038.16
13,1,5039.09
13,1,5039.69
13,1,5040.16
13,1,5040.19
13,1,5040.48
13,1,5041.73
13,1,5041.82
13,1,5041.90
13,1,5042.24
13,1,5042.44
13,1,5043.46
13,1,5043.55
13,1,5043.62
13,1,5043.80
13,1,5045.07
13,1,5045.58
13,1,5045.60
13,1,5045.62
13,1,5045.84
13,1,5046.84
13,1,5047.20
13,1,5047.67
13,1,5048.18
13,1,5050.10
13,1,5050.32
13,1,5050.34
13,1,5051.42
13,1,5052.61
13,1,5053.13
13,1,5053.78
13,1,5053.96
13,1,5054.30
13,1,5055.11
13,1,5055.92
13,1,5056.63
13,1,5057.43
13,1,5057.48
13,1,5057.64
13,1,5058.43
13,1,5058.90
13,1,5058.95
13,1,5059.96
13,1,5060.01
13,1,5060.35
13,1,5060.67
13,1,5061.55
13,1,5062.42
13,1,5062.53
13,1,5062.70
13,1,5062.84
13,1,5063.67
13,1,5063.95
13,1,5064.28
13,1,5064.32
13,1,5065.37
13,1,5065.51
13,1,5065.62
13,1,5066.07
13,1,5067.13
13,1,5067.65
13,1,5068.52
13,1,5069.00
13,1,5069.98
13,1,5070.19
13,1,5071.59
13,1,5071.76
13,1,5072.42
13,1,5072.75
13,1,5072.89
13,1,5073.40
13,1,5074.50
13,1,5074.74
13,1,5075.09
13,1,5075.32
13,1,5075.77
13,1,5076.61
13,1,5076.66
13,1,5076.92
13,1,5077.04
13,1,5077.08
13,1,5078.07
13,1,5078.19
13,1,5079.04
13,1,5079.14
13,1,5079.92
13,1,5080.23
13,1,5080.84
13,1,5081.18
13,1,5081.92
13,1,5082.73
13,1,5084.30
13,1,5084.78
13,1,5085.20
13,1,5085.87
13,1,5086.05
13,1,5086.36
13,1,5087.51
13,1,5087.75
13,1,5087.76
13,1,5087.77
13,1,5087.84
13,1,5088.81
13,1,5089.41
13,1,5089.41
13,1,5089.78
13,1,5090.09
13,1,5090.20
13,1,5090.26
13,1,5091.39
13,1,5091.50
13,1,5091.61
13,1,5092.06
13,1,5092.31
13,1,5092.70
13,1,5092.73
13,1,5092.92
13,1,5093.24
13,1,5095.17
13,1,5095.28
13,1,5095.47
13,1,5095.94
13,1,5096.17
13,1,5097.78
13,1,5098.29
13,1,5099.12
13,1,5100.28
13,1,5100.85
13,1,5101.22
13,1,5102.03
13,1,5102.79
13,1,5102.96
13,1,5103.13
13,1,5103.46
13,1,5103.76
13,1,5103.92
13,1,5104.18
13,1,5104.66
13,1,5104.80
13,1,5105.48
13,1,5105.85
13,1,5107.48
13,1,5108.76
13,1,5108.77
13,1,5109.33
13,1,5109.75
13,1,5110.39
13,1,5110.56
13,1,5111.89
13,1,5111.97
13,1,5112.68
13,1,5113.71
13,1,5114.32
13,1,5114.40
13,1,5115.66
13,1,5115.97
13,1,5116.18
13,1,5119.18
13,1,5119.30
