c_name,c_custkey,o_orderkey,o_orderdate,o_totalprice,sum_qty
Customer#001227100,1227100,35542498,1993-10-12,417981.24,325
Customer#000480857,480857,12809282,1994-05-21,417929.65,314
Customer#001265062,1265062,58673379,1998-01-23,417787.87,309
Customer#000751036,751036,51031042,1992-07-06,417523.08,307
Customer#001145858,1145858,551136,1993-05-19,417443.95,308
Customer#001131305,1131305,967334,1995-12-15,417368.40,301
Customer#000442057,442057,17929698,1998-02-24,416549.36,310
Customer#001054093,1054093,4478371,1996-03-05,416436.71,302
Customer#000875632,875632,16801991,1992-02-10,416309.84,304
Customer#000333983,333983,11028230,1996-08-10,416286.20,302
Customer#000760711,760711,23671233,1996-10-03,416050.90,303
Customer#001305482,1305482,20714883,1995-10-05,415868.63,302
Customer#000264508,264508,44723233,1992-08-09,415682.83,306
Customer#000310654,310654,31450375,1996-05-16,415092.90,311
Customer#000033160,33160,17301668,1995-04-24,415088.59,302
Customer#001183021,1183021,20676097,1997-07-14,414988.40,307
Customer#001140328,1140328,45053063,1993-09-01,414635.66,309
Customer#000784115,784115,38926278,1997-04-25,413752.14,301
Customer#000843340,843340,19730468,1997-10-06,413550.63,304
Customer#000772597,772597,1436544,1992-09-12,413488.39,307
Customer#000202144,202144,14046658,1995-12-01,413443.50,305
Customer#000206245,206245,15738658,1995-03-25,413329.09,307
Customer#000045353,45353,57137254,1994-08-31,413276.21,302
Customer#001048271,1048271,25859617,1992-05-31,413250.58,301
Customer#000029093,29093,46892804,1998-04-24,413192.29,303
Customer#001025266,1025266,26471747,1996-06-16,413090.68,313
Customer#000427330,427330,43207233,1994-04-08,412760.42,303
Customer#000697340,697340,23813318,1994-12-13,412526.90,301
Customer#000990538,990538,43416326,1996-06-18,411421.32,308
Customer#000978250,978250,21973952,1997-07-20,410959.98,304
Customer#000383075,383075,31831749,1998-02-07,409922.35,310
Customer#001483562,1483562,59313570,1992-06-03,409898.11,302
Customer#000500569,500569,32148069,1997-04-27,409309.18,303
Customer#000675142,675142,48085603,1994-01-18,409181.33,309
Customer#001323217,1323217,39837541,1995-08-11,409135.94,305
Customer#001445284,1445284,17927718,1996-08-27,409124.70,314
Customer#001237849,1237849,14875232,1994-06-21,408088.74,308
Customer#001185599,1185599,54188961,1995-06-17,407873.05,317
Customer#000164194,164194,15157120,1994-05-13,407751.70,304
Customer#000380455,380455,34764101,1993-01-30,407600.26,302
Customer#000970828,970828,47880193,1997-02-23,406995.84,301
Customer#001199881,1199881,1544643,1997-09-20,406906.07,320
Customer#000070007,70007,6899299,1995-06-09,406777.26,304
Customer#000798094,798094,52566243,1993-05-04,406748.91,304
Customer#000161284,161284,19232581,1996-09-26,406217.33,305
Customer#001488844,1488844,2942469,1992-05-31,404813.00,313
Customer#001026634,1026634,59417473,1997-11-05,404408.55,304
Customer#001188142,1188142,42997059,1997-03-15,404132.92,320
Customer#000449353,449353,8433440,1997-04-18,403704.43,305
Customer#001173752,1173752,53101121,1997-03-02,403644.41,301
Customer#000495029,495029,43322471,1996-03-31,403578.93,302
Customer#000866603,866603,9827201,1995-02-08,403377.20,304
Customer#001019890,1019890,37683008,1996-09-06,403364.96,305
Customer#001499743,1499743,23338693,1997-11-10,403234.69,304
Customer#000882085,882085,39455748,1994-03-11,402827.28,302
Customer#000389372,389372,51748135,1995-07-26,401804.12,301
Customer#000921415,921415,57823175,1992-10-02,400908.20,306
Customer#000334972,334972,45581186,1994-09-21,400866.75,305
Customer#000073339,73339,37874913,1996-08-18,400846.89,305
Customer#000751505,751505,17016006,1993-03-13,398993.57,311
Customer#001288183,1288183,48943904,1996-07-22,398081.59,325
Customer#001082872,1082872,17272195,1993-07-13,396736.30,308
Customer#000821671,821671,22897223,1998-01-24,395714.11,309
Customer#001223941,1223941,17361729,1997-08-12,395388.16,303
Customer#001065973,1065973,36828227,1996-10-18,394842.57,310
Customer#001037525,1037525,26584295,1992-03-09,394681.34,306
Customer#001171162,1171162,55229349,1996-07-10,394652.05,301
Customer#001400449,1400449,18923648,1997-08-31,394435.24,305
Customer#000114613,114613,59930883,1997-05-17,394335.49,319
Customer#000378331,378331,23711776,1993-12-20,394082.92,307
Customer#000597625,597625,31041542,1994-07-13,393662.68,302
Customer#000083146,83146,21057986,1992-08-23,393493.03,307
Customer#000377287,377287,4134341,1995-06-29,393282.59,309
Customer#000287206,287206,30702500,1993-09-23,393084.58,309
Customer#001445294,1445294,8073922,1992-02-26,392988.90,301
Customer#000750967,750967,53601824,1997-05-19,392320.49,306
Customer#001185190,1185190,9782273,1994-12-05,392028.65,302
Customer#000208546,208546,55876839,1994-03-19,391807.97,307
Customer#001070366,1070366,37128899,1994-08-12,390576.59,309
