c_name,c_custkey,o_orderkey,o_orderdate,o_totalprice,sum_qty
Customer#001287812,1287812,42290181,0000-00-00,558289.17,318.00
Customer#000644812,644812,2745894,0000-00-00,557664.53,304.00
Customer#001172513,1172513,36667107,0000-00-00,550142.18,322.00
Customer#000399481,399481,43906817,0000-00-00,549431.65,312.00
Customer#000571654,571654,21213895,0000-00-00,549380.08,327.00
Customer#000667882,667882,2199712,0000-00-00,542154.01,327.00
Customer#001492954,1492954,30332516,0000-00-00,541181.80,310.00
Customer#001471966,1471966,1263015,0000-00-00,540476.80,320.00
Customer#001082018,1082018,31018979,0000-00-00,537993.05,304.00
Customer#001114039,1114039,30417318,0000-00-00,536420.39,305.00
Customer#000870061,870061,17812705,0000-00-00,535422.02,301.00
Customer#001221100,1221100,34748294,0000-00-00,533199.98,307.00
Customer#001101754,1101754,46794464,0000-00-00,532623.90,320.00
Customer#000253643,253643,58441889,0000-00-00,532485.39,308.00
Customer#000933919,933919,5200102,0000-00-00,532057.45,304.00
Customer#000555376,555376,22040514,0000-00-00,527114.86,308.00
Customer#001130668,1130668,18869634,0000-00-00,525679.10,310.00
Customer#000591466,591466,55799200,0000-00-00,524209.45,327.00
Customer#001296343,1296343,28346247,0000-00-00,523740.15,310.00
Customer#000406811,406811,47953029,0000-00-00,523581.51,303.00
Customer#001196317,1196317,34509573,0000-00-00,522897.01,318.00
Customer#000634048,634048,36327201,0000-00-00,519634.30,315.00
Customer#001308376,1308376,28077922,0000-00-00,518711.99,319.00
Customer#000473176,473176,11484962,0000-00-00,518544.68,306.00
Customer#000008782,8782,29294434,0000-00-00,518140.85,322.00
Customer#000061768,61768,46486080,0000-00-00,517881.34,314.00
Customer#000948784,948784,35999840,0000-00-00,517688.62,309.00
Customer#000948259,948259,29089474,0000-00-00,516193.66,302.00
Customer#001093786,1093786,5746311,0000-00-00,513757.93,302.00
Customer#000158578,158578,53246051,0000-00-00,513721.96,301.00
Customer#001341685,1341685,26707522,0000-00-00,513357.44,311.00
Customer#000789988,789988,49864035,0000-00-00,513213.66,308.00
Customer#001492924,1492924,18152960,0000-00-00,512954.28,305.00
Customer#000480784,480784,16424550,0000-00-00,512906.88,301.00
Customer#001458101,1458101,30768103,0000-00-00,512801.73,306.00
Customer#001232356,1232356,52340710,0000-00-00,512292.83,320.00
Customer#000773671,773671,30567815,0000-00-00,512201.38,303.00
Customer#000299162,299162,38643041,0000-00-00,512074.82,304.00
Customer#000287270,287270,37531878,0000-00-00,512044.58,315.00
Customer#000149305,149305,44769410,0000-00-00,511963.95,311.00
