nation,o_year,sum_profit
ALGERIA,1998,41258178002.0000
ALGERIA,1997,70202228511.3200
ALGERIA,1996,69936039939.5800
ALGERIA,1995,70765618025.3300
ALGERIA,1994,69920592713.0300
ALGERIA,1993,70393497658.2200
ALGERIA,1992,70472878291.6700
ARGENTINA,1998,42466450595.6500
ARGENTINA,1997,71499835040.5500
ARGENTINA,1996,72727802971.0600
ARGENTINA,1995,71921438632.2100
ARGENTINA,1994,71849830311.9000
ARGENTINA,1993,71720082483.7700
ARGENTINA,1992,72389933793.6000
BRAZIL,1998,42616021620.6600
BRAZIL,1997,70531545276.1900
BRAZIL,1996,71299964622.3100
BRAZIL,1995,71245161783.7700
BRAZIL,1994,71345417711.5900
BRAZIL,1993,70791366042.2400
BRAZIL,1992,71751540814.6200
CANADA,1998,42520471921.5800
CANADA,1997,72844331840.2100
CANADA,1996,73415694921.2800
CANADA,1995,72523526993.9000
CANADA,1994,73589983526.0700
CANADA,1993,72782586334.5600
CANADA,1992,73732454856.4300
CHINA,1998,41872972462.0900
CHINA,1997,70074577645.5200
CHINA,1996,71164987048.7800
CHINA,1995,70729400049.5500
CHINA,1994,71841672012.3100
CHINA,1993,70972847708.2600
CHINA,1992,70722643546.3800
EGYPT,1998,42167949233.9600
EGYPT,1997,72219131259.5100
EGYPT,1996,73473666480.6500
EGYPT,1995,71282968395.0100
EGYPT,1994,72436990613.6700
EGYPT,1993,72451875177.6800
EGYPT,1992,72661818655.7000
ETHIOPIA,1998,41479000933.3900
ETHIOPIA,1997,70979793792.9200
ETHIOPIA,1996,71223519642.1500
ETHIOPIA,1995,71398414559.9000
ETHIOPIA,1994,71297522143.7700
ETHIOPIA,1993,71433405535.6800
ETHIOPIA,1992,71910578777.3100
FRANCE,1998,41043987618.5100
FRANCE,1997,70629063667.9000
FRANCE,1996,71083728092.4600
FRANCE,1995,71612284290.0800
FRANCE,1994,70820173618.2300
FRANCE,1993,70313445165.7500
FRANCE,1992,71070759932.4300
GERMANY,1998,42509616156.8000
GERMANY,1997,72445333590.2300
GERMANY,1996,71067184046.8500
GERMANY,1995,72077697279.4100
GERMANY,1994,73335638431.6900
GERMANY,1993,72143583019.2500
GERMANY,1992,71420695615.2400
INDIA,1998,42476712774.5800
INDIA,1997,70955959434.6400
INDIA,1996,71934728767.6200
INDIA,1995,73493753489.3400
INDIA,1994,72529581130.1400
INDIA,1993,73269906698.1100
INDIA,1992,72263890761.5500
INDONESIA,1998,41025221308.0500
INDONESIA,1997,70674340764.5700
INDONESIA,1996,71466133440.7800
INDONESIA,1995,70378948010.5600
INDONESIA,1994,71707530043.1200
INDONESIA,1993,70808097060.6000
INDONESIA,1992,70752565675.4100
IRAN,1998,42532256173.0300
IRAN,1997,71234514994.0000
IRAN,1996,71867911944.7100
