nation,o_year,sum_profit
ALGERIA,1998,0.00
ALGERIA,1997,0.00
ALGERIA,1996,0.00
ALGERIA,1995,0.00
ALGERIA,1994,0.00
ALGERIA,1993,0.00
ALGERIA,1992,0.00
ARGENTINA,1998,0.00
ARGENTINA,1997,0.00
ARGENTINA,1996,0.00
ARGENTINA,1995,0.00
ARGENTINA,1994,0.00
ARGENTINA,1993,0.00
ARGENTINA,1992,0.00
BRAZIL,1998,0.00
BRAZIL,1997,0.00
BRAZIL,1996,0.00
BRAZIL,1995,0.00
BRAZIL,1994,0.00
BRAZIL,1993,0.00
BRAZIL,1992,0.00
CANADA,1998,0.00
CANADA,1997,0.00
CANADA,1996,0.00
CANADA,1995,0.00
CANADA,1994,0.00
CANADA,1993,0.00
CANADA,1992,0.00
CHINA,1998,0.00
CHINA,1997,0.00
CHINA,1996,0.00
CHINA,1995,0.00
CHINA,1994,0.00
CHINA,1993,0.00
CHINA,1992,0.00
EGYPT,1998,0.00
EGYPT,1997,0.00
EGYPT,1996,0.00
EGYPT,1995,0.00
EGYPT,1994,0.00
EGYPT,1993,0.00
EGYPT,1992,0.00
ETHIOPIA,1998,0.00
ETHIOPIA,1997,0.00
ETHIOPIA,1996,0.00
ETHIOPIA,1995,0.00
ETHIOPIA,1994,0.00
ETHIOPIA,1993,0.00
ETHIOPIA,1992,0.00
FRANCE,1998,0.00
FRANCE,1997,0.00
FRANCE,1996,0.00
FRANCE,1995,0.00
FRANCE,1994,0.00
FRANCE,1993,0.00
FRANCE,1992,0.00
GERMANY,1998,0.00
GERMANY,1997,0.00
GERMANY,1996,0.00
GERMANY,1995,0.00
GERMANY,1994,0.00
GERMANY,1993,0.00
GERMANY,1992,0.00
INDIA,1998,0.00
INDIA,1997,0.00
INDIA,1996,0.00
INDIA,1995,0.00
INDIA,1994,0.00
INDIA,1993,0.00
INDIA,1992,0.00
INDONESIA,1998,0.00
INDONESIA,1997,0.00
INDONESIA,1996,0.00
INDONESIA,1995,0.00
INDONESIA,1994,0.00
INDONESIA,1993,0.00
INDONESIA,1992,0.00
IRAN,1998,0.00
IRAN,1997,0.00
IRAN,1996,0.00
IRAN,1995,0.00
IRAN,1994,0.00
IRAN,1993,0.00
IRAN,1992,0.00
IRAQ,1998,0.00
IRAQ,1997,0.00
IRAQ,1996,0.00
IRAQ,1995,0.00
IRAQ,1994,0.00
IRAQ,1993,0.00
IRAQ,1992,0.00
JAPAN,1998,0.00
JAPAN,1997,0.00
JAPAN,1996,0.00
JAPAN,1995,0.00
JAPAN,1994,0.00
JAPAN,1993,0.00
JAPAN,1992,0.00
JORDAN,1998,0.00
JORDAN,1997,0.00
JORDAN,1996,0.00
JORDAN,1995,0.00
JORDAN,1994,0.00
JORDAN,1993,0.00
JORDAN,1992,0.00
KENYA,1998,0.00
KENYA,1997,0.00
KENYA,1996,0.00
KENYA,1995,0.00
KENYA,1994,0.00
KENYA,1993,0.00
KENYA,1992,0.00
MOROCCO,1998,0.00
MOROCCO,1997,0.00
MOROCCO,1996,0.00
MOROCCO,1995,0.00
MOROCCO,1994,0.00
MOROCCO,1993,0.00
MOROCCO,1992,0.00
MOZAMBIQUE,1998,0.00
MOZAMBIQUE,1997,0.00
MOZAMBIQUE,1996,0.00
MOZAMBIQUE,1995,0.00
MOZAMBIQUE,1994,0.00
MOZAMBIQUE,1993,0.00
MOZAMBIQUE,1992,0.00
PERU,1998,0.00
PERU,1997,0.00
PERU,1996,0.00
PERU,1995,0.00
PERU,1994,0.00
PERU,1993,0.00
PERU,1992,0.00
ROMANIA,1998,0.00
ROMANIA,1997,0.00
ROMANIA,1996,0.00
ROMANIA,1995,0.00
ROMANIA,1994,0.00
ROMANIA,1993,0.00
ROMANIA,1992,0.00
RUSSIA,1998,0.00
RUSSIA,1997,0.00
RUSSIA,1996,0.00
RUSSIA,1995,0.00
RUSSIA,1994,0.00
RUSSIA,1993,0.00
RUSSIA,1992,0.00
SAUDI ARABIA,1998,0.00
SAUDI ARABIA,1997,0.00
SAUDI ARABIA,1996,0.00
SAUDI ARABIA,1995,0.00
SAUDI ARABIA,1994,0.00
SAUDI ARABIA,1993,0.00
SAUDI ARABIA,1992,0.00
UNITED KINGDOM,1998,0.00
UNITED KINGDOM,1997,0.00
UNITED KINGDOM,1996,0.00
UNITED KINGDOM,1995,0.00
UNITED KINGDOM,1994,0.00
UNITED KINGDOM,1993,0.00
UNITED KINGDOM,1992,0.00
UNITED STATES,1998,0.00
UNITED STATES,1997,0.00
UNITED STATES,1996,0.00
UNITED STATES,1995,0.00
UNITED STATES,1994,0.00
UNITED STATES,1993,0.00
UNITED STATES,1992,0.00
VIETNAM,1998,0.00
VIETNAM,1997,0.00
VIETNAM,1996,0.00
VIETNAM,1995,0.00
VIETNAM,1994,0.00
VIETNAM,1993,0.00
VIETNAM,1992,0.00
